Variable,Order,AIC,BIC,Test MAE,Test RMSE,Test MAPE (%),Test R²,LjungBox p
electricity_local,"(0, 0, 1)x(0, 1, 0, 12)",534.4,537.45,719.4331,973.9649,5.45,-5.415,0.0
air_so2,"(1, 0, 0)x(1, 1, 0, 12)",-363.69,-360.29,0.0001,0.0001,9.43,-4.9402,0.0
air_no2,"(2, 0, 0)x(1, 1, 0, 12)",-228.44,-224.07,0.0007,0.0008,10.22,-2.7298,0.0
ipi_abs_index_sa,"(1, 0, 0)x(2, 1, 1, 12)",58.13,60.12,2.1727,2.6734,1.72,-0.0814,0.9629
car_registration,"(2, 0, 0)x(1, 1, 0, 12)",498.28,502.64,17395.9893,21940.6323,27.34,-3.7467,0.0
