date,air_co,air_no2,air_o3,air_pm_10,air_pm_25,air_so2,electricity_exports,electricity_local,electricity_local_commercial,electricity_local_domestic,electricity_losses,electricity_total,ipi_abs_index,ipi_growth_mom_index,ipi_growth_yoy_index,ipi_abs_index_sa,ipi_growth_mom_index_sa,ipi_growth_yoy_index_sa,car_registration
2020-03-01,0.542,0.0051,0.019,22.96,15.01,0.0009,148.75855,11699.290989351844,8809.560864715995,2889.7301246358475,1674.341259061774,13522.390798413617,110.082,-0.466,-5.106,108.343,-8.568,-5.376,23044
2020-04-01,0.473,0.0032,0.018,17.7,11.81,0.0009,143.921,10349.141634806634,7209.282719754847,3139.858915051787,1192.2839361336376,11685.346570940272,77.052,-30.005,-31.613,79.766,-26.376,-31.756,129
2020-05-01,0.496,0.0047,0.017,17.58,11.14,0.0009,138.609,11570.619048745171,7623.061580682024,3947.557468063146,1553.9476671138425,13263.175715859014,91.279,18.464,-21.463,93.509,17.229,-20.613,24399
2020-06-01,0.529,0.0061,0.015,19.48,12.21,0.001,125.662,11751.316874619091,8733.469808289672,3017.847066329419,1413.3392075994657,13290.318082218557,115.479,26.512,0.14,115.706,23.738,-0.261,46599
2020-07-01,0.545,0.0065,0.014,18.55,11.74,0.001,128.298,12381.463346189072,9376.72161572112,3004.741730467953,1357.174850188724,13866.936196377796,116.859,1.195,1.819,119.444,3.231,3.282,62423
2020-08-01,0.585,0.0064,0.016,22.81,15.15,0.0011,140.393,12543.160058752128,9553.317405522816,2989.8426532293133,1578.8631640382737,14262.416222790402,114.805,-1.757,-0.071,114.753,-3.927,0.252,55667
2020-09-01,0.555,0.0064,0.013,18.23,11.52,0.0011,124.32709,12436.148407303446,9534.58470597987,2901.563701323576,1166.417801294884,13726.89329859833,115.98,1.023,1.497,115.01,0.224,1.229,60204
2020-10-01,0.548,0.0066,0.014,19.19,12.36,0.0011,129.284,12758.637190295922,9784.699068542444,2973.93812175348,1403.3739716263567,14291.29516192228,117.862,1.623,-0.156,113.92,-0.948,0.103,59513
2020-11-01,0.549,0.0061,0.013,17.11,10.1,0.0011,116.514,12122.769498085525,9179.293057956924,2943.4764401285984,1195.4896956735022,13434.773193759023,114.393,-2.943,-2.208,111.779,-1.879,-2.694,59025
2020-12-01,0.62,0.0065,0.016,18.55,10.92,0.0012,99.263,12231.228997967688,9410.638187147051,2820.5908108206354,1518.763646647053,13849.255644614745,119.519,4.481,1.76,115.305,3.154,1.458,70483
2021-01-01,0.549,0.0054,0.019,19.65,11.36,0.0011,134.76173,12157.209476818183,9118.32410606924,3038.885370748943,1277.2718831883617,13569.243090006545,120.041,0.437,1.26,116.033,0.631,1.613,35103
2021-02-01,0.533,0.0052,0.023,25.74,15.94,0.0012,84.21,11595.539692391303,8500.055352939267,3095.4843394520376,1125.4281253818,12805.177817773105,112.384,-6.379,1.615,119.701,3.161,1.017,44413
2021-03-01,0.538,0.0062,0.016,22.54,14.3,0.0011,122.645,12960.81040007616,9885.082042015252,3075.7283580609064,1766.1485430512116,14849.603943127371,120.629,7.337,9.582,118.365,-1.116,9.25,66244
2021-04-01,0.563,0.0069,0.017,22.55,14.07,0.0011,112.167,12718.137118598424,9595.732563152076,3122.4045554463464,1519.1518899720209,14349.456008570443,115.27,-4.443,49.6,120.731,1.999,51.356,60957
2021-05-01,0.526,0.0059,0.015,20.28,12.62,0.001,103.623,12675.56142460442,9243.155745480217,3432.405679124206,1672.266821646826,14451.451246251248,115.331,0.053,26.35,118.745,-1.645,26.988,49507
2021-06-01,0.488,0.0046,0.016,19.65,13.3,0.0011,57.788,11100.331582430035,7802.305208957809,3298.026373472227,1517.1672444168094,12675.286826846845,116.946,1.4,1.271,116.882,-1.569,1.016,2063
2021-07-01,0.518,0.0048,0.016,22.76,15.27,0.0011,67.48905,11590.082115172583,8173.249012716132,3416.8331024564504,1570.2674647495407,13227.838629922124,110.607,-5.42,-5.35,113.621,-2.79,-4.875,8400
2021-08-01,0.494,0.0049,0.013,18.16,11.76,0.0011,46.02522,12011.964066766825,8739.395240665728,3272.568826101095,1531.0654558299716,13589.054742596794,114.452,3.476,-0.308,114.128,0.446,-0.545,19152
2021-09-01,0.531,0.0058,0.014,18.6,12.06,0.0011,70.984,12446.853350471849,9205.928582849265,3240.924767622583,1292.6559901060014,13810.493340577848,118.272,3.338,1.976,116.78,2.324,1.539,46046
2021-10-01,0.564,0.0063,0.015,20.53,13.14,0.0011,58.20315,13086.443119099726,9907.90741033832,3178.5357087614043,1735.300615062236,14879.946884161962,124.39,5.173,5.539,120.23,2.954,5.539,67215
2021-11-01,0.539,0.0063,0.013,16.84,10.02,0.0012,45.92575,12708.140604309528,9700.69295667445,3007.4476476350774,1383.3046805200197,14137.371034829546,124.942,0.443,9.222,121.888,1.379,9.044,62887
2021-12-01,0.562,0.006,0.017,18.86,11.43,0.0012,70.63773,12956.13425706382,9922.392808945093,3033.741448118727,1479.196171131195,14505.968158195014,126.595,1.323,5.92,122.476,0.482,6.219,68070
2022-01-01,0.572,0.0061,0.019,21.98,13.6,0.0012,58.25445,12936.42689543781,9787.33242143781,3149.094474,1326.5413200000007,14321.22266543781,124.865,-1.367,4.018,122.249,-0.185,5.357,44567
2022-02-01,0.515,0.0052,0.014,18.09,10.87,0.0011,58.2294,11899.223610061854,8821.415245061855,3077.808365,876.3189523000021,12833.771962361856,116.442,-6.746,3.611,123.355,0.905,3.053,46100
2022-03-01,0.535,0.0058,0.015,19.76,12.2,0.0012,62.61265,13252.140207006954,9985.710552576957,3266.42965443,1525.3469030642982,14840.09976007125,126.6,8.724,4.949,124.059,0.571,4.811,73413
2022-04-01,0.575,0.0068,0.016,20.59,13.25,0.0012,59.90336,13132.168277829996,9813.861697829996,3318.30658,1279.596459999999,14471.668097829996,120.477,-4.836,4.517,126.849,2.249,5.067,61330
2022-05-01,0.537,0.0065,0.015,21.16,13.29,0.0011,60.152,13254.941392793851,9890.299725793851,3364.641667,1553.3024650000025,14868.395857793854,119.432,-0.867,3.556,123.309,-2.791,3.844,52934
2022-06-01,0.513,0.0064,0.014,18.67,11.63,0.0012,60.80461,13244.199491819452,9961.861196819453,3282.338295,1202.1387652000003,14507.142867019453,130.8,9.518,11.847,130.293,5.664,11.474,65708
2022-07-01,0.534,0.0065,0.015,23.55,14.86,0.0012,60.245,13367.95899038873,10087.65293938873,3280.306051,1522.2534368655042,14950.457427254234,124.68,-4.679,12.723,128.228,-1.585,12.856,53223
2022-08-01,0.508,0.0067,0.015,20.64,13.4,0.0012,67.617,13463.73042848442,10261.33668548442,3202.393743,1399.3108670000004,14930.658295484422,129.509,3.873,13.156,129.242,0.791,13.243,70450
2022-09-01,0.523,0.0067,0.014,19.41,12.42,0.0012,67.921,13090.583107615548,9971.862925615547,3118.720182,1114.876221820001,14273.38032943555,131.097,1.227,10.844,129.37,0.099,10.781,68305
2022-10-01,0.501,0.0063,0.013,17.35,10.48,0.0012,83.311,13214.60363302277,10117.581373022773,3097.02226,1257.535649000001,14555.450282022772,129.836,-0.962,4.378,126.123,-2.51,4.901,64367
2022-11-01,0.515,0.0066,0.014,17.4,10.38,0.0012,88.21,12934.27658154336,9895.133927025032,3039.1426545183267,1050.2022105799197,14072.688792123276,131.05,0.935,4.889,127.845,1.365,4.887,68150
2022-12-01,0.503,0.0062,0.017,18.44,10.75,0.0013,90.70768,13041.87546325216,10003.77103408216,3038.10442917,1062.2647518299975,14194.84789508216,130.2,-0.649,2.848,126.652,-0.933,3.41,76215
