Date,Actual_SO2,Predicted_SO2,CI_Lower,CI_Upper,Absolute_Error,Pct_Error
2022-01-01,0.0012,0.0011443180404197212,0.0010035495715016137,0.0012850865093378288,5.568195958027865e-05,4.64
2022-02-01,0.0011,0.0011242173332750031,0.0009732619240503715,0.0012751727424996349,2.421733327500307e-05,2.2
2022-03-01,0.0012,0.0011492237945778967,0.000998268385353265,0.0013001792038025285,5.0776205422103145e-05,4.23
2022-04-01,0.0012,0.0011690216992585561,0.0010180662900339244,0.0013199771084831879,3.0978300741443766e-05,2.58
2022-05-01,0.0011,0.0011434757280612694,0.0009925203188366376,0.0012944311372859011,4.3475728061269326e-05,3.95
2022-06-01,0.0012,0.0011972236898332067,0.001046268280608575,0.0013481790990578385,2.776310166793198e-06,0.23
2022-07-01,0.0012,0.001183076219390086,0.0010321208101654543,0.0013340316286147179,1.69237806099138e-05,1.41
2022-08-01,0.0012,0.0011922879392225866,0.0010413325299979549,0.0013432433484472184,7.712060777413264e-06,0.64
2022-09-01,0.0012,0.001187877465242911,0.0010369220560182792,0.0013388328744675427,1.2122534757088915e-05,1.01
2022-10-01,0.0012,0.0011646109504370161,0.0010136555412123844,0.001315566359661648,3.5389049562983745e-05,2.95
2022-11-01,0.0012,0.0011738460121652888,0.001022890602940657,0.0013248014213899206,2.6153987834711062e-05,2.18
2022-12-01,0.0013,0.0011661949457286776,0.0010152395365040459,0.0013171503549533094,0.00013380505427132232,10.29
