Date,Actual,Predicted,CI_Lower,CI_Upper,Abs_Error,Pct_Error
2022-01-01,0.0012,0.0011437583892617447,0.0010080537686981228,0.0012794630098253666,5.624161073825517e-05,4.69
2022-02-01,0.0011,0.0011106928516733479,0.0009532726084107419,0.0012681130949359538,1.0692851673347811e-05,0.97
2022-03-01,0.0012,0.0010912529785676865,0.0009269930467793173,0.0012555129103560558,0.00010874702143231336,9.06
2022-04-01,0.0012,0.0010798238988089218,0.0009132651401834297,0.0012463826574344139,0.00012017610119107814,10.01
2022-05-01,0.0011,0.0010731045203735674,0.0009057585177462534,0.0012404505230008815,2.6895479626432624e-05,2.45
2022-06-01,0.0012,0.001069154067011574,0.0009015368139272203,0.0012367713200959274,0.00013084593298842598,10.9
2022-07-01,0.0012,0.0010668315185920394,0.0008991206100058824,0.0012345424271781964,0.0001331684814079605,11.1
2022-08-01,0.0012,0.0010654660471722326,0.0008977227787886103,0.001233209315555855,0.00013453395282776726,11.21
2022-09-01,0.0012,0.0010646632599482387,0.0008969088078751277,0.0012324177120213498,0.0001353367400517612,11.28
2022-10-01,0.0012,0.001064191285714535,0.0008964329681804258,0.0012319496032486444,0.00013580871428546483,11.32
2022-11-01,0.0012,0.001063913802876465,0.0008961541492692,0.0012316734564837301,0.00013608619712353483,11.34
2022-12-01,0.0013,0.001063750665315291,0.0008959905498977561,0.0012315107807328257,0.000236249334684709,18.17
