Date,Actual,Predicted,CI_Lower,CI_Upper,Abs_Error,Pct_Error
2022-01-01,12936.42689543781,12348.933381210541,11288.07617614291,13409.790586278174,587.493514227268,4.54
2022-02-01,11899.223610061854,11595.539692391303,10194.578255081544,12996.501129701062,303.6839176705507,2.55
2022-03-01,13252.140207006954,12960.81040007616,11559.8489627664,14361.771837385919,291.3298069307948,2.2
2022-04-01,13132.168277829996,12718.137118598424,11317.175681288665,14119.098555908184,414.031159231572,3.15
2022-05-01,13254.941392793851,12675.56142460442,11274.599987294661,14076.52286191418,579.3799681894307,4.37
2022-06-01,13244.199491819452,11100.331582430035,9699.370145120276,12501.293019739795,2143.867909389417,16.19
2022-07-01,13367.95899038873,11590.082115172583,10189.120677862824,12991.043552482342,1777.8768752161468,13.3
2022-08-01,13463.73042848442,12011.964066766825,10611.002629457065,13412.925504076584,1451.766361717595,10.78
2022-09-01,13090.583107615548,12446.853350471849,11045.89191316209,13847.814787781608,643.7297571436993,4.92
2022-10-01,13214.60363302277,13086.443119099726,11685.481681789966,14487.404556409485,128.16051392304507,0.97
2022-11-01,12934.27658154336,12708.140604309528,11307.17916699977,14109.102041619288,226.135977233831,1.75
2022-12-01,13041.87546325216,12956.13425706382,11555.172819754061,14357.09569437358,85.74120618833877,0.66
