Date,Actual,Predicted,CI_Lower,CI_Upper,Abs_Error,Pct_Error
2022-01-01,122.249,123.68269462301255,119.45354944217294,127.91183980385216,1.4336946230125562,1.17
2022-02-01,123.355,122.108561696583,116.23520356515712,127.98191982800887,1.2464383034170083,1.01
2022-03-01,124.059,124.98719642118833,117.80876140337139,132.16563143900527,0.928196421188332,0.75
2022-04-01,126.849,128.86817664318696,120.5617203079513,137.1746329784226,2.0191766431869524,1.59
2022-05-01,123.309,129.74199027404512,120.41947775065329,139.06450279743694,6.432990274045125,5.22
2022-06-01,130.293,127.55325259060015,117.29277889132779,137.8137262898725,2.739747409399854,2.1
2022-07-01,128.228,128.62737202912913,117.48676746520323,139.76797659305504,0.3993720291291254,0.31
2022-08-01,129.242,127.28803537834177,115.311875943629,139.26419481305456,1.9539646216582156,1.51
2022-09-01,129.37,125.62880055257787,112.85243547929218,138.40516562586356,3.741199447422133,2.89
2022-10-01,126.123,125.35137250424076,111.80342359367465,138.89932141480688,0.7716274957592475,0.61
2022-11-01,127.845,125.80685649390682,111.51086125719596,140.1028517306177,2.038143506093178,1.59
2022-12-01,126.652,124.28411117821328,109.25965274523006,139.3085696111965,2.367888821786721,1.87
